branch,source,base,commit,status,endpoint,type,features,additions,deletions,old_path,path
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,构建配置,主题/颜色/静态资源、构建/配置,-,-,,h5-v2/public/configstatic/h5/images/startup-1125.png
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,构建配置,主题/颜色/静态资源、构建/配置,-,-,,h5-v2/public/configstatic/h5/images/startup-1242.png
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,构建配置,主题/颜色/静态资源、构建/配置,-,-,,h5-v2/public/configstatic/h5/images/startup-640.png
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,构建配置,主题/颜色/静态资源、构建/配置,-,-,,h5-v2/public/configstatic/h5/images/startup-640x2.png
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,构建配置,主题/颜色/静态资源、构建/配置,-,-,,h5-v2/public/configstatic/h5/images/startup-750.png
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,构建配置,主题/颜色/静态资源、构建/配置,1,1,,h5-v2/public/configstatic/h5/manifest.json
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,主题样式,主题/颜色/静态资源,169,169,,h5-v2/public/static/css/color.less
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,R100,h5-v2,图片资源,代理/报表/团队、主题/颜色/静态资源,-,-,pc/src/assets/images/photo_2023-11-29_22-03-48.jpg,h5-v2/src/assets/images/agency/9/footer1.jpg
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,R100,h5-v2,图片资源,代理/报表/团队、主题/颜色/静态资源,-,-,pc/src/assets/images/photo_2023-11-29_22-03-32.jpg,h5-v2/src/assets/images/agency/9/footer2.jpg
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,R100,h5-v2,图片资源,代理/报表/团队、主题/颜色/静态资源,-,-,pc/src/assets/images/photo_2023-11-29_22-03-52.jpg,h5-v2/src/assets/images/agency/9/footer3.jpg
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,R100,h5-v2,图片资源,代理/报表/团队、主题/颜色/静态资源,-,-,pc/src/assets/images/photo_2023-11-29_22-03-39.jpg,h5-v2/src/assets/images/agency/9/footer4.jpg
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,R100,h5-v2,图片资源,代理/报表/团队、主题/颜色/静态资源,-,-,pc/src/assets/images/photo_2023-11-29_22-03-43.jpg,h5-v2/src/assets/images/agency/9/footer5.jpg
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,其他,未归类路径,1,1,,h5-v2/src/lang/en_US.js
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,其他,未归类路径,1,1,,h5-v2/src/lang/hi_IN.js
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,其他,未归类路径,1,1,,h5-v2/src/lang/in_ID.js
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,其他,未归类路径,1,1,,h5-v2/src/lang/it_IT.js
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,其他,未归类路径,1,1,,h5-v2/src/lang/pt_BR.js
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,其他,未归类路径,1,1,,h5-v2/src/lang/th_TH.js
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,其他,未归类路径,1,1,,h5-v2/src/lang/vi_VN.js
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,其他,未归类路径,2,2,,h5-v2/src/lang/zh_CN.js
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,页面,彩票/投注/开奖,69,81,,h5-v2/src/views/buy-lottery/child_modal/balls/shareSimple/shareSimple.vue
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,页面,聊天室/私聊、活动/红包/推广/下载,14,12,,h5-v2/src/views/chat/chat/dialog/asideRedPacket.vue
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,页面,首页/导航/版面,0,1,,h5-v2/src/views/home/home.vue
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,页面,个人中心/账户、代理/报表/团队,4,4,,h5-v2/src/views/personal-center/child_modal/agency_center/common/sharePop.vue
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,页面,个人中心/账户、代理/报表/团队、活动/红包/推广/下载,193,1315,,h5-v2/src/views/personal-center/child_modal/agency_center/promotion.vue
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,页面,个人中心/账户,1,1,,h5-v2/src/views/personal-center/child_modal/takefee_list/aliPay.vue
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,页面,资金/充值/提现、个人中心/账户,1,1,,h5-v2/src/views/personal-center/child_modal/takefee_list/bankPay.vue
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,页面,个人中心/账户,1,1,,h5-v2/src/views/personal-center/child_modal/takefee_list/currencyPay.vue
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,页面,个人中心/账户,1,1,,h5-v2/src/views/personal-center/child_modal/takefee_list/weChatPay.vue
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,页面,首页/导航/版面,10,35,,h5-v2/src/views2/home/newfastNav.vue
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,A,h5-v2,页面,活动/红包/推广/下载,235,0,,h5-v2/src/views7/active/active.vue
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,pc,图片资源,聊天室/私聊、主题/颜色/静态资源,-,-,,pc/src/assets/images/chat/cptt.png
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,D,pc,图片资源,主题/颜色/静态资源,-,-,,pc/src/assets/images/en_tg_bg1.jpg
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,D,pc,图片资源,主题/颜色/静态资源,-,-,,pc/src/assets/images/en_tg_bg2.jpg
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,D,pc,图片资源,主题/颜色/静态资源,-,-,,pc/src/assets/images/en_tg_bg3.jpg
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,D,pc,图片资源,主题/颜色/静态资源,-,-,,pc/src/assets/images/en_tg_bg4.jpg
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,D,pc,图片资源,主题/颜色/静态资源,-,-,,pc/src/assets/images/en_tg_bg5.jpg
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,D,pc,图片资源,主题/颜色/静态资源,-,-,,pc/src/assets/images/en_tg_bg6.jpg
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,D,pc,图片资源,主题/颜色/静态资源,-,-,,pc/src/assets/images/en_tg_bg7.jpg
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,D,pc,图片资源,主题/颜色/静态资源,-,-,,pc/src/assets/images/en_tg_bg8.jpg
