branch,source,base,commit,status,endpoint,type,features,additions,deletions,old_path,path
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,A,pc,页面,首页/导航/版面、彩票/投注/开奖,366,0,,pc/src/views-v11/layout/child_modal/lottery_head.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,A,pc,页面,首页/导航/版面,213,0,,pc/src/views-v11/layout/child_modal/newheader.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,A,pc,页面,首页/导航/版面,100,0,,pc/src/views-v11/layout/gameCategory.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,A,pc,页面,首页/导航/版面,171,0,,pc/src/views-v11/layout/layout.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,A,pc,页面,登录/注册/验证码、首页/导航/版面,185,0,,pc/src/views-v11/login/index.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,A,pc,页面,登录/注册/验证码、接口/状态/工具,292,0,,pc/src/views-v11/login/loginMixin.js
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,A,pc,页面,首页/导航/版面,137,0,,pc/src/views-v11/phone-buy/HomeQrcode.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,A,pc,页面,未归类路径,441,0,,pc/src/views-v11/phone-buy/RedpactList.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,A,pc,页面,首页/导航/版面,232,0,,pc/src/views-v11/phone-buy/index.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,A,pc,页面,登录/注册/验证码、首页/导航/版面,386,0,,pc/src/views-v11/register/index.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,A,pc,页面,登录/注册/验证码、接口/状态/工具,618,0,,pc/src/views-v11/register/registerMixin.js
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,未归类路径,130,129,,pc/src/views-v2/common/module_vue/header.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,接口/状态/工具,794,794,,pc/src/views-v2/common/module_vue/headerMixin.js
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,未归类路径,90,52,,pc/src/views-v2/common/module_vue/suspend.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,未归类路径,32,8,,pc/src/views-v2/common/module_vue/try_play.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,未归类路径,39,42,,pc/src/views-v2/content/game/gameList.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,首页/导航/版面,28,41,,pc/src/views-v2/content/home/gameCard.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,首页/导航/版面,18,25,,pc/src/views-v2/content/home/gameSwiper.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,首页/导航/版面,53,10,,pc/src/views-v2/content/home/home.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,登录/注册/验证码,101,124,,pc/src/views-v2/content/register/register.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,未归类路径,76,111,,pc/src/views-v3/common/module_vue/footer.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,未归类路径,84,88,,pc/src/views-v3/common/module_vue/header.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,首页/导航/版面,514,472,,pc/src/views-v3/common/module_vue/header/headMenu.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,登录/注册/验证码,1,1,,pc/src/views-v3/common/module_vue/header/loginRegister.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,未归类路径,69,49,,pc/src/views-v3/content/game/child_vue/gameList.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,登录/注册/验证码,1,1,,pc/src/views-v3/content/login/login.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,登录/注册/验证码、接口/状态/工具,1,1,,pc/src/views-v3/content/login/loginMixin.js
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,登录/注册/验证码,266,206,,pc/src/views-v3/content/register/register.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,首页/导航/版面,109,146,,pc/src/views-v3/layout/SlideQuick.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,接口/状态/工具,807,812,,pc/src/views-v4/common/module_vue/headerMixin.js
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,未归类路径,63,72,,pc/src/views-v4/common/module_vue/top.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,未归类路径,32,8,,pc/src/views-v4/common/module_vue/try_play.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,未归类路径,87,84,,pc/src/views-v4/content/game/gameList.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,未归类路径,109,111,,pc/src/views-v5/components/header.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,登录/注册/验证码,1,1,,pc/src/views-v5/components/headerLoginBox.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,接口/状态/工具,806,805,,pc/src/views-v5/components/headerMixin.js
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,未归类路径,32,8,,pc/src/views-v5/components/try_play.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,未归类路径,67,48,,pc/src/views-v5/game/child_vue/gameList.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,登录/注册/验证码,1,1,,pc/src/views-v5/login/login.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,登录/注册/验证码、接口/状态/工具,1,1,,pc/src/views-v5/login/loginMixin.js
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,登录/注册/验证码,91,98,,pc/src/views-v5/register/register.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,接口/状态/工具,69,55,,pc/src/views-v6/game/components/gameMixin.js
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,首页/导航/版面,1,1,,pc/src/views-v6/layout/components/BaseHeader.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,首页/导航/版面,142,140,,pc/src/views-v6/layout/components/BaseNav.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,登录/注册/验证码、首页/导航/版面,1,1,,pc/src/views-v6/login/index.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,登录/注册/验证码、首页/导航/版面,92,83,,pc/src/views-v6/register/index.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,未归类路径,60,56,,pc/src/views-v8/game/components/GameItem.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,接口/状态/工具,97,86,,pc/src/views-v8/game/components/gameMixin.js
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,首页/导航/版面,111,149,,pc/src/views-v8/layout/SlideQuick.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,首页/导航/版面,1,1,,pc/src/views-v8/layout/components/BaseHeader.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,登录/注册/验证码、首页/导航/版面,1,1,,pc/src/views-v8/login/index.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,登录/注册/验证码、首页/导航/版面,93,90,,pc/src/views-v8/register/index.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,活动/红包/推广/下载,365,131,,pc/src/views/active/active.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,首页/导航/版面、活动/红包/推广/下载,46,20,,pc/src/views/active/index.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,彩票/投注/开奖,170,143,,pc/src/views/buyLottery/buyLottery.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,彩票/投注/开奖,142,127,,pc/src/views/buyLottery/child_modal/common_vue/prize_list.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,彩票/投注/开奖,88,84,,pc/src/views/buyLottery/child_modal/liuhe/child_modal/common_modal/input_modal.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,首页/导航/版面、彩票/投注/开奖,33,33,,pc/src/views/buyLottery/child_modal/liuhe/child_modal/index.js
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,彩票/投注/开奖,136,122,,pc/src/views/buyLottery/child_modal/liuhe/child_modal/liangmian.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,彩票/投注/开奖,75,87,,pc/src/views/buyLottery/child_modal/liuhe/child_modal/lianwei.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,彩票/投注/开奖,161,164,,pc/src/views/buyLottery/child_modal/liuhe/child_modal/lianxiao.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,彩票/投注/开奖,68,62,,pc/src/views/buyLottery/child_modal/liuhe/child_modal/sebo.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,彩票/投注/开奖,51,61,,pc/src/views/buyLottery/child_modal/liuhe/child_modal/shengxiao.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,彩票/投注/开奖,112,127,,pc/src/views/buyLottery/child_modal/liuhe/child_modal/teima_ab.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,彩票/投注/开奖,39,38,,pc/src/views/buyLottery/child_modal/liuhe/child_modal/weishu.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,彩票/投注/开奖,89,108,,pc/src/views/buyLottery/child_modal/liuhe/child_modal/zhengma.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,彩票/投注/开奖,116,100,,pc/src/views/buyLottery/child_modal/liuhe/child_modal/zhengma1_6.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,彩票/投注/开奖,101,119,,pc/src/views/buyLottery/child_modal/liuhe/child_modal/zhengmatei.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,彩票/投注/开奖,12,12,,pc/src/views/buyLottery/child_modal/liuhe/liuhe.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,彩票/投注/开奖,147,138,,pc/src/views/buyLottery/child_modal/liuhe/result_page.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,彩票/投注/开奖,283,260,,pc/src/views/buyLottery/child_modal/pc_egg/pc_egg.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,首页/导航/版面、彩票/投注/开奖,99,100,,pc/src/views/buyLottery/child_modal/qwc/index.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,首页/导航/版面、彩票/投注/开奖,18,18,,pc/src/views/buyLottery/child_modal/shared/children_modal/TabMenu.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,彩票/投注/开奖,142,114,,pc/src/views/buyLottery/child_modal/shared/children_modal/add_note.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,彩票/投注/开奖,68,75,,pc/src/views/buyLottery/child_modal/shared/children_modal/balls_page.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,彩票/投注/开奖,1,1,,pc/src/views/buyLottery/child_modal/shared/children_modal/chase_num.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,彩票/投注/开奖,693,586,,pc/src/views/buyLottery/child_modal/shared/children_modal/common_modal/fc3d.js
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,彩票/投注/开奖,233,194,,pc/src/views/buyLottery/child_modal/shared/children_modal/result_page.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,彩票/投注/开奖,19,22,,pc/src/views/buyLottery/child_modal/shared/shared.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,A,pc,页面,彩票/投注/开奖、主题/颜色/静态资源,0,0,,pc/src/views/buyLottery/css/test.css
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,彩票/投注/开奖,49,52,,pc/src/views/buyLottery/lottery_head.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,彩票/投注/开奖,343,277,,pc/src/views/buyLottery/lottery_info.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,聊天室/私聊,305,305,,pc/src/views/chatRoom/chatHeader.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,首页/导航/版面、聊天室/私聊,170,73,,pc/src/views/chatRoom/chatLeft/index.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,个人中心/账户、聊天室/私聊,124,125,,pc/src/views/chatRoom/chatLeft/messageList.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,聊天室/私聊,173,63,,pc/src/views/chatRoom/chatLeft/peopleList.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,聊天室/私聊、主题/颜色/静态资源,601,577,,pc/src/views/chatRoom/chatMain/chat.less
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,聊天室/私聊,493,438,,pc/src/views/chatRoom/chatMain/chatFeature.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,聊天室/私聊,69,30,,pc/src/views/chatRoom/chatMain/chatPrivate/chatBottom.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,聊天室/私聊,49,66,,pc/src/views/chatRoom/chatMain/chatPrivate/chatBottomTool.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,首页/导航/版面、聊天室/私聊,371,321,,pc/src/views/chatRoom/chatMain/chatPrivate/index.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,聊天室/私聊,108,125,,pc/src/views/chatRoom/chatMain/components/aside.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,首页/导航/版面、聊天室/私聊,1128,941,,pc/src/views/chatRoom/chatMain/index.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,聊天室/私聊,149,140,,pc/src/views/chatRoom/chatMain/topNotice.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,A,pc,页面,彩票/投注/开奖、聊天室/私聊、主题/颜色/静态资源,133,0,,pc/src/views/chatRoom/chatRight/drawAlottery/css/ball.css
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,彩票/投注/开奖、聊天室/私聊,163,147,,pc/src/views/chatRoom/chatRight/drawAlottery/lotteryHistory/history_ssc.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,彩票/投注/开奖、聊天室/私聊、主题/颜色/静态资源,1,1,,pc/src/views/chatRoom/chatRight/drawAlottery/lotteryNumber/ball.less
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,首页/导航/版面、聊天室/私聊,208,204,,pc/src/views/chatRoom/chatRight/index.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,A,pc,页面,聊天室/私聊、主题/颜色/静态资源,645,0,,pc/src/views/chatRoom/css/chat.css
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,首页/导航/版面、聊天室/私聊,440,419,,pc/src/views/chatRoom/index.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,A,pc,页面,主题/颜色/静态资源,0,0,,pc/src/views/css/test.css
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,客服/反馈/帮助、活动/红包/推广/下载,1263,1183,,pc/src/views/feedbackActive/feedbackActive.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,未归类路径,23,2,,pc/src/views/freeTrial/freeTrial.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,未归类路径,82,91,,pc/src/views/game/game.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,A,pc,页面,未归类路径,100,0,,pc/src/views/game/gameCategory.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,未归类路径,85,41,,pc/src/views/game/gameList.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,首页/导航/版面,36,20,,pc/src/views/game/index.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,首页/导航/版面,643,628,,pc/src/views/home/banner3d.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,首页/导航/版面、彩票/投注/开奖,59,39,,pc/src/views/home/fast_betting.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,首页/导航/版面,1,1,,pc/src/views/home/hotlist.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,首页/导航/版面,44,28,,pc/src/views/home/index.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,首页/导航/版面,121,110,,pc/src/views/home/infolist.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,首页/导航/版面,109,131,,pc/src/views/layout/child_modal/FloatBanner.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,首页/导航/版面,69,71,,pc/src/views/layout/child_modal/header.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,首页/导航/版面,38,37,,pc/src/views/layout/child_modal/header/headMenu.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,登录/注册/验证码、首页/导航/版面,1,1,,pc/src/views/layout/child_modal/header/loginRegister.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,首页/导航/版面,486,453,,pc/src/views/layout/child_modal/header/nav.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,首页/导航/版面、彩票/投注/开奖,5,8,,pc/src/views/layout/child_modal/lottery_head.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,首页/导航/版面,152,127,,pc/src/views/layout/child_modal/newheader.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,首页/导航/版面,86,87,,pc/src/views/layout/child_modal/popupNotice.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,首页/导航/版面,1,1,,pc/src/views/layout/child_modal/switchTemplate.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,首页/导航/版面,324,249,,pc/src/views/layout/index.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,首页/导航/版面,1,2,,pc/src/views/layout/layout.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,登录/注册/验证码、首页/导航/版面,1,1,,pc/src/views/login/index.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,登录/注册/验证码、接口/状态/工具,261,272,,pc/src/views/login/loginMixin.js
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,彩票/投注/开奖,60,51,,pc/src/views/lottery/item.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,个人中心/账户,56,28,,pc/src/views/personalCenter/child_modal/account/account.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,个人中心/账户,594,546,,pc/src/views/personalCenter/child_modal/account/aliPayAccount.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,资金/充值/提现、个人中心/账户,759,716,,pc/src/views/personalCenter/child_modal/account/bankAccount.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,个人中心/账户,792,651,,pc/src/views/personalCenter/child_modal/account/currencyAccount.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,个人中心/账户,955,959,,pc/src/views/personalCenter/child_modal/account/material.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,个人中心/账户,774,715,,pc/src/views/personalCenter/child_modal/account/payAccount.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,个人中心/账户,539,499,,pc/src/views/personalCenter/child_modal/account/weChatAccount.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,彩票/投注/开奖、个人中心/账户、代理/报表/团队,254,116,,pc/src/views/personalCenter/child_modal/agentBetting/agentBetting.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,个人中心/账户、代理/报表/团队,140,11,,pc/src/views/personalCenter/child_modal/agentReport/agentreport.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,个人中心/账户、代理/报表/团队,132,54,,pc/src/views/personalCenter/child_modal/agentTrade/agentTrade.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,个人中心/账户,302,200,,pc/src/views/personalCenter/child_modal/creditConver/amount.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,个人中心/账户,72,38,,pc/src/views/personalCenter/child_modal/description/description.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,个人中心/账户,59,13,,pc/src/views/personalCenter/child_modal/expand/common/expand_me_info.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,个人中心/账户,157,139,,pc/src/views/personalCenter/child_modal/expand/expand_list.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,个人中心/账户,129,99,,pc/src/views/personalCenter/child_modal/expand/expand_me.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,首页/导航/版面、个人中心/账户,395,314,,pc/src/views/personalCenter/child_modal/freeCharge/index.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,首页/导航/版面、个人中心/账户,40,40,,pc/src/views/personalCenter/child_modal/index.js
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,资金/充值/提现、个人中心/账户,745,624,,pc/src/views/personalCenter/child_modal/recharge/components/DigitalCurrency.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,资金/充值/提现、个人中心/账户,109,82,,pc/src/views/personalCenter/child_modal/recharge/recharge.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,资金/充值/提现、个人中心/账户,537,363,,pc/src/views/personalCenter/child_modal/recharge/step2.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,资金/充值/提现、个人中心/账户,1,0,,pc/src/views/personalCenter/child_modal/recharge/step3.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,首页/导航/版面、个人中心/账户、代理/报表/团队,455,382,,pc/src/views/personalCenter/child_modal/subReport/index.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,个人中心/账户,79,84,,pc/src/views/personalCenter/child_modal/trade/trade.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,个人中心/账户,797,695,,pc/src/views/personalCenter/child_modal/userManage/userManage.vue
origin/BY8316-YDYL_CS,远端,origin/BY-Demo-H5V2-PC,92b497667,M,pc,页面,资金/充值/提现、个人中心/账户,364,285,,pc/src/views/personalCenter/child_modal/withdraw/aliPay.vue
